127.0.0.1 - - [17/Jan/2020:00:53:11 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Jan/2020:00:53:12 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jan/2020:00:53:13 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [17/Jan/2020:00:53:13 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2020:00:53:13 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2020:00:53:13 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jan/2020:00:53:14 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [17/Jan/2020:00:53:18 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 3024
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:01:04 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:01:04 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:01:07 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 7232
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:02:50 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:02:50 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:02:54 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:03:34 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:03:41 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:03:41 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:03:43 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:03:43 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 3028
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:43:47 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:43:47 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:43:47 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:43:47 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:43:49 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 3028
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:44:19 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:44:19 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:44:23 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 2989
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:51:56 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:51:56 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:51:58 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:52:05 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:52:05 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:52:07 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 3028
0:0:0:0:0:0:0:1 - - [17/Jan/2020:01:52:18 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 2309
