127.0.0.1 - - [13/Jan/2020:23:55:44 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:45 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:46 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:46 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:46 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2407
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:46 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:46 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:46 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:55:50 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [13/Jan/2020:23:56:09 +0900] "POST /DJG/joinAction.jsp HTTP/1.1" 200 253
