127.0.0.1 - - [04/Jan/2022:02:46:24 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/css/custom.css HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/images/3.jpg HTTP/1.1" 200 777980
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/images/4.jpg HTTP/1.1" 200 153388
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/images/5.jpg HTTP/1.1" 200 146325
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:26 +0900] "GET /DJG/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:31 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:34 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:37 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [04/Jan/2022:02:46:39 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 2624
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:18:41 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:18:41 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:00 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:00 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:12 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:12 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:12 +0900] "GET /DJG/css/custom.css HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:12 +0900] "GET /DJG/images/5.jpg HTTP/1.1" 200 146325
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:12 +0900] "GET /DJG/images/3.jpg HTTP/1.1" 200 777980
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:12 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:12 +0900] "GET /DJG/images/4.jpg HTTP/1.1" 200 153388
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:13 +0900] "GET /DJG/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:16 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:43 +0900] "POST /DJG/joinAction.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:19:50 +0900] "POST /DJG/joinAction.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Jan/2022:03:20:01 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 2624
