127.0.0.1 - - [09/Jan/2022:03:39:04 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:39:06 +0900] "GET /DJG/info.jsp HTTP/1.1" 500 90
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:39:12 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:39:19 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:39:23 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:39:27 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:39:27 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:39:31 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:52:30 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:52:54 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [09/Jan/2022:03:59:58 +0900] "GET /DJG/modification.jsp HTTP/1.1" 200 12545
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:03:48 +0900] "GET /DJG/modification.jsp HTTP/1.1" 500 3676
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:04:06 +0900] "GET /DJG/modification.jsp HTTP/1.1" 200 12309
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:08:54 +0900] "GET /DJG/modification.jsp HTTP/1.1" 200 12309
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:09:06 +0900] "POST /DJG/modificationAction.jsp HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:09:07 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:10:20 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:10:22 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:10:43 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 8098
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:10:44 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 8098
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:11:59 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 8324
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:12:38 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:13:51 +0900] "GET /DJG/info.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:14:16 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 7590
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:14:29 +0900] "GET /DJG/info.jsp HTTP/1.1" 500 2560
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:15:05 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 7577
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:20:01 +0900] "GET /DJG/modification.jsp HTTP/1.1" 200 12309
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:20:05 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [09/Jan/2022:04:20:06 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3509
