0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:06:47 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:06:48 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:06:52 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:06:52 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:06:54 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:06:55 +0900] "GET /DJG/view.jsp?boardID=29 HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:07:00 +0900] "POST /DJG/cmtCreateAction.jsp?boardID=29 HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:07:01 +0900] "GET /DJG/view.jsp?boardID=29 HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:07:08 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=6 HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:07:09 +0900] "POST /DJG/cmtUpdateAction.jsp?commentID=6 HTTP/1.1" 500 53
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:07:12 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:07:58 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:08:25 +0900] "POST /DJG/searchBoard.jsp HTTP/1.1" 200 4021
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:08:27 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:08:28 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:08:31 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:08:34 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 5411
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:09:11 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 5411
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:12:55 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:12:55 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:12:56 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 5489
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:13:16 +0900] "GET /DJG/info.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:13:21 +0900] "GET /DJG/modification.jsp HTTP/1.1" 200 12468
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:37:44 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:06 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:07 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:07 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:09 +0900] "GET /DJG/modification.jsp HTTP/1.1" 200 12453
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:12 +0900] "GET /DJG/logoutAction.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:12 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:14 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:19 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:19 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:20 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:22 +0900] "GET /DJG/view.jsp?boardID=29 HTTP/1.1" 200 6165
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:24 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=5 HTTP/1.1" 200 5459
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:31 +0900] "POST /DJG/cmtUpdateAction.jsp?commentID=5 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:47:44 +0900] "GET /DJG/view.jsp?boardID=29 HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:57:15 +0900] "GET /DJG/view.jsp?boardID=29 HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:57:17 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=5 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [15/Feb/2022:01:57:22 +0900] "POST /DJG/cmtUpdateAction.jsp?commentID=5 HTTP/1.1" 500 53
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:16 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:17 +0900] "GET /DJG/main.jsp] HTTP/1.1" 400 844
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:25 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:29 +0900] "GET /DJG/view.jsp?boardID=29 HTTP/1.1" 200 6171
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:31 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=1 HTTP/1.1" 200 5465
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:36 +0900] "POST /DJG/cmtUpdateAction.jsp?commentID=1 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:40 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=1 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:41 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=1 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:42 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=1 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:42 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=1 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:43 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:08:46 +0900] "GET /DJG/view.jsp?boardID=29 HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:12:57 +0900] "GET /DJG/cmtUpdate.jsp?boardID=29&commentID=1 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [15/Feb/2022:02:12:59 +0900] "POST /DJG/cmtUpdateAction.jsp?commentID=1 HTTP/1.1" 200 322
