127.0.0.1 - - [28/Jan/2022:02:07:15 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/css/custom.css HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/images/3.jpg HTTP/1.1" 200 777980
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/images/4.jpg HTTP/1.1" 200 153388
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/images/5.jpg HTTP/1.1" 200 146325
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:16 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:21 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:32 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:40 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:41 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:43 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:07:44 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:11:02 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:11:03 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:14:01 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:14:12 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:14:44 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:14:52 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:15:15 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:15:26 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:21:42 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:21:43 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:22:01 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:25:28 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:25:39 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:25:41 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:25:57 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:25:58 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:26:10 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:26:59 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:27:10 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:41:15 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:41:26 +0900] "GET /DJG/view.jsp?boardID=2 HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:53:54 +0900] "GET /DJG/write.jsp HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:53:56 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:53:59 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:00 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:04 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:04 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:05 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:06 +0900] "GET /DJG/write.jsp HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:11 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:12 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:14 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:15 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 3368
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:20 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:20 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:22 +0900] "GET /DJG/write.jsp HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:26 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:26 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:29 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:29 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:32 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:32 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 4024
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:35 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:35 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:39 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:39 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:42 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:43 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:54:44 +0900] "GET /DJG/bbs.jsp?pageNumber=2 HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:55:13 +0900] "GET /DJG/bbs.jsp?pageNumber=2 HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:56:16 +0900] "GET /DJG/write.jsp HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:56:19 +0900] "POST /DJG/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:56:20 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:56:21 +0900] "GET /DJG/bbs.jsp?pageNumber=2 HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Jan/2022:02:56:48 +0900] "GET /DJG/bbs.jsp?pageNumber=2 HTTP/1.1" 404 800
