127.0.0.1 - - [13/Feb/2022:19:36:48 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/css/custom.css HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/images/school1.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/images/school2.jpg HTTP/1.1" 200 247912
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/images/school3.jpg HTTP/1.1" 200 292268
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:36:49 +0900] "GET /DJG/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:38:49 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:38:49 +0900] "GET /DJG/images/school1.jpeg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:38:49 +0900] "GET /DJG/images/school2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:38:49 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:38:49 +0900] "GET /DJG/images/school3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:38:49 +0900] "GET /DJG/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:39:11 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [13/Feb/2022:19:39:11 +0900] "GET /DJG/images/school1.jpeg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [13/Feb/2022:21:54:18 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [13/Feb/2022:21:54:18 +0900] "GET /DJG/images/school1.jpeg HTTP/1.1" 404 839
